Date,totalvar_ean10,totalvar_ean20,totalvar_ean30,totalvar_ean60,totalvar_ean90,totalvar_ean120,totalvar_ean150,totalvar_ean180,totalvar_ean270,totalvar_ean360,totalvar_ean720,totalvar_ean1080
2015-01-02,0.0009984331506849313,0.0020115375342465752,0.004423890410958904,0.006894746301369862,0.010545100273972603,0.013951561643835615,0.01766025616438356,0.02145893917808219,0.03343469917808219,0.04593169972602739,0.10227410630136986,0.1547616032876712
2015-01-05,0.001339320821917808,0.0026689583561643835,0.004845356712328766,0.008321917808219179,0.011718246575342465,0.015367377534246576,0.019369483561643832,0.023457999452054793,0.03619438027397261,0.04878420164383561,0.10526005479452055,0.15884844164383558
2015-01-06,0.0015662687671232876,0.0032783101369863016,0.005428684931506849,0.009225470136986302,0.012761815068493151,0.01665863342465753,0.02086031095890411,0.025076835616438354,0.037382084383561644,0.05019816328767123,0.10764288,0.1621562597260274
2015-01-07,0.001253512602739726,0.0030183063013698628,0.005014438356164383,0.008218678356164383,0.011600287397260274,0.015395822465753425,0.019440924657534248,0.023587244383561645,0.03629262328767123,0.0496655605479452,0.10819655013698629,0.1631274608219178
2015-01-08,0.0011190249315068492,0.002903673424657534,0.004620526849315069,0.007499993424657535,0.01058593315068493,0.01404653917808219,0.01786530821917808,0.021810126575342464,0.03374997041095891,0.04665821917808219,0.1038974794520548,0.15693462246575343
2015-01-09,0.0009478356164383562,0.0030466652054794525,0.0044544526027397256,0.007464922191780823,0.010545100273972603,0.014100956712328768,0.01786530821917808,0.021706540273972598,0.033592149863013704,0.0465724504109589,0.10471395945205479,0.15802681315068492
2015-01-12,0.0012093701369863014,0.0036643265753424654,0.004937589863013699,0.0081673002739726,0.011461650410958906,0.015183126575342466,0.019049626027397258,0.022944570410958903,0.034961493698630136,0.0484775901369863,0.11145459945205478,0.1683091232876712
2015-01-13,0.0012711550684931508,0.003769933698630136,0.004877339178082192,0.008189299726027399,0.011514873698630135,0.015310566575342464,0.019244778082191782,0.023221972602739723,0.035219273424657534,0.049135798356164384,0.11220608219178081,0.16944013479452055
2015-01-14,0.0015155901369863012,0.004183106301369862,0.005560439178082192,0.008931881095890411,0.01247178328767123,0.016407964931506848,0.02036332602739726,0.024260666301369863,0.0369509794520548,0.05051015999999999,0.11428567890410958,0.1722842334246575
2015-01-15,0.0017913010958904105,0.004478838904109588,0.0057545063013698635,0.009381897534246574,0.013043835616438355,0.017195733698630134,0.02134455205479452,0.025433955616438356,0.03879197260273973,0.05290378520547945,0.11792268493150684,0.17775323506849317
2015-01-16,0.0014912024657534246,0.003729797808219178,0.004789640547945205,0.008116083287671232,0.011461650410958906,0.015438539178082192,0.019512497260273976,0.023695219726027398,0.036785835616438355,0.05010919890410958,0.10967994739726028,0.1650785621917808
2015-01-20,0.002180285205479452,0.003424657534246575,0.004295174794520548,0.007514044931506848,0.010905063287671232,0.015638666301369862,0.01908503424657534,0.022415789589041096,0.03492933780821918,0.04765023123287671,0.10884429369863013,0.16396222684931505
2015-01-21,0.0021219421917808216,0.003299789589041096,0.004058041643835616,0.007098220273972603,0.010362328767123286,0.014776109589041094,0.01824431095890411,0.02166517479452055,0.03390816082191781,0.04567664219178082,0.1070906301369863,0.16132610958904112
2015-01-22,0.0019167191780821917,0.0029543473972602733,0.0036766232876712323,0.006295642191780823,0.009318417534246573,0.013401734794520547,0.016570126027397263,0.019726027397260277,0.031208419726027392,0.042671342465753416,0.09995180054794518,0.15046101369863013
2015-01-23,0.0018549052054794518,0.002698060821917808,0.0033371712328767126,0.005915521643835617,0.008742794794520546,0.012694438356164383,0.015755194520547945,0.018848342465753426,0.029796526849315063,0.04076471342465753,0.10066351561643834,0.15166442958904108
2015-01-26,0.002402060547945205,0.0031037808219178077,0.00379931506849315,0.0064444931506849315,0.009366413424657532,0.013269307397260273,0.016471249315068492,0.01970630630136986,0.030633719178082188,0.042630322191780826,0.10209452054794521,0.15354593753424658
2015-01-27,0.0014342312328767123,0.0023592465753424657,0.0032810991780821918,0.006641260273972604,0.010352221643835617,0.015183126575342466,0.018539901369863013,0.021955561643835615,0.03374997041095891,0.04567664219178082,0.10589896109589039,0.1591227912328767
2015-01-28,0.0016755421917808218,0.003044081643835616,0.0040397991780821915,0.007726395616438355,0.011686016712328768,0.016643835616438358,0.020235456164383558,0.023846799452054795,0.036096270410958906,0.04970983561643835,0.10480487671232877,0.15720731506849314
2015-01-29,0.0014179794520547946,0.0026088350684931507,0.003771093698630137,0.007132420273972604,0.011218411232876712,0.016071849863013698,0.019494591780821913,0.023008438356164382,0.035186999178082184,0.04778039342465753,0.10553363506849316,0.15830045260273973
2015-01-30,0.0018677591780821917,0.0033375473972602735,0.004694876712328767,0.009024080547945205,0.014190906575342464,0.019413369863013695,0.02302474931506849,0.026749681643835614,0.040021219726027395,0.05395976876712329,0.10902971835616439,0.1635445775342466
2015-02-02,0.002697820273972603,0.004143835616438356,0.005424461095890411,0.009802790136986301,0.014632017534246576,0.019525377534246574,0.023044208219178082,0.026772657534246576,0.03984934438356164,0.05432951342465753,0.1070906301369863,0.16063594520547944
2015-02-03,0.001635136712328767,0.002707796712328767,0.004087315068493151,0.008057746849315069,0.012761815068493151,0.017452326575342465,0.02099013698630137,0.024744328767123288,0.0372491704109589,0.050778355068493146,0.11164223342465752,0.1674633501369863
2015-02-04,0.001183036712328767,0.0024302663013698635,0.0034440073972602735,0.006921705205479451,0.011600287397260274,0.015999241643835614,0.019494591780821913,0.02326479780821918,0.035737673424657536,0.048433867397260265,0.10425996493150684,0.15638994739726025
